,Make,Model,Year of manufacture,Colour,Condition,Mileage,Engine Size,Selling Condition,Bought Condition,Registered city,Price
2227,Toyota,Venza,2013,Black,Foreign Used,169970,2700,Imported,Imported,,10500000.0
2228,Toyota,Camry,2014,Gray,Foreign Used,197406,2400,Imported,Imported,,5355000.0
2229,Toyota,Camry,2015,Black,Nigerian Used,198206,2500,Registered,Registered,,6090000.0
2230,Acura,MDX,2007,White,Foreign Used,159294,3700,Imported,Imported,,5250000.0
2231,Ford,Explorer,2007,Blue,Nigerian Used,211781,4000,Registered,Imported,LAGOS,2829750.0
2232,Lexus,ES,2005,Silver,Nigerian Used,241362,3300,Registered,Registered,,2730000.0
2233,Ford,Edge,2007,Black,Nigerian Used,166843,3500,Registered,Imported,LAGOS,2226000.0
2234,Toyota,Highlander,2012,White,Nigerian Used,120320,3500,Registered,Imported,LAGOS,7350000.0
2235,Hyundai,Creta,2019,Black,Nigerian Used,59246,1600,Registered,Brand new,LAGOS,7980000.0
2236,Mercedes-Benz,GLA 250,2015,White,Nigerian Used,112209,2500,Registered,Registered,FCT,12480000.0
2237,Toyota,Hilux,2010,White,Nigerian Used,201691,2700,Registered,Brand new,KOGI,5565000.0
2238,Hyundai,Elantra,2013,Black,Nigerian Used,130723,1800,Registered,Imported,FCT,3150000.0
2239,Lexus,RX 350,2012,Silver,Foreign Used,118849,3500,Imported,Imported,,13312000.0
2240,Volkswagen,Routan,2010,Gray,Nigerian Used,152341,4000,Registered,Imported,,5250000.0
2241,Mercedes-Benz,C200,2001,Gray,Nigerian Used,202517,2000,Registered,Registered,"FCT, ABUJA",2415000.0
2242,Toyota,Camry,2000,Green,Nigerian Used,145823,1400,Registered,Registered,Lagos,1560000.0
2243,Mercedes-Benz,E350,2010,Black,Foreign Used,339530,3500,Imported,Imported,,7035000.0
2244,Ford,F-150,2008,Gray,Foreign Used,193788,5400,Imported,Imported,,9360000.0
2245,Toyota,Camry,2007,White,Nigerian Used,217801,2400,Registered,Imported,LAGOS,2989875.0
2246,Daihatsu,HIJET,2003,Blue,Nigerian Used,,1400,Registered,Imported,AKWA IBOM,1890000.0
2247,Honda,Accord,2006,Black,Nigerian Used,226877,2400,Registered,Registered,,1522500.0
2248,Lexus,RX,2015,Black,Foreign Used,78405,3500,Imported,Imported,,18200000.0
2249,BMW,535i,2011,White,Foreign Used,244841,3000,Imported,Imported,,10500000.0
2250,Mercedes-Benz,C270,2002,Black,Foreign Used,334608,1800,Imported,Imported,,1575000.0
2251,Honda,CR-V,2018,Gray,Foreign Used,62098,2400,Imported,Brand new,,17680000.0
2252,Toyota,Yaris,2008,Red,Nigerian Used,261019,1300,Registered,Registered,,1680000.0
2253,Toyota,Camry,2008,Gray,Nigerian Used,236765,2400,Registered,Imported,Abuja,3536000.0
2254,Suzuki,Grand Vitara,2006,Silver,Nigerian Used,104760,2000,Registered,Brand new,Edo,1470000.0
2255,Toyota,Avensis,2003,Black,Nigerian Used,291455,2000,Registered,Registered,,1470000.0
2256,Toyota,4-Runner,2003,Gray,Nigerian Used,20116,4700,Registered,Registered,LAGOS,3640000.0
2257,Toyota,Avalon,2013,Black,Nigerian Used,191842,3500,Registered,Imported,LAGOS,12480000.0
2258,Honda,Pilot,2005,Silver,Nigerian Used,174669,3500,Registered,Imported,,2704000.0
2259,Hyundai,Tucson,2009,Black,Nigerian Used,152285,2000,Registered,Registered,,1689187.0
2260,Toyota,Corolla,2006,Red,Nigerian Used,304783,1800,Registered,Registered,RIVERS,2310000.0
2261,Toyota,Venza,2010,Black,Foreign Used,280572,2700,Imported,Imported,,8925000.0
2262,Toyota,Corolla,2004,Gold,Foreign Used,165441,1800,Imported,Imported,,4420000.0
2263,Toyota,Corolla,2003,Gold,Nigerian Used,437355,1800,Registered,Registered,LAGOS,2415000.0
2264,Ford,Focus,2014,Black,Nigerian Used,69576,1600,Registered,Imported,,4200000.0
2265,Honda,Accord Crosstour,2012,Black,Nigerian Used,74135,3500,Registered,Registered,Lagos,5200000.0
2266,Hyundai,Sonata,2012,Gray,Foreign Used,281008,2400,Imported,Imported,,4115998.0
2267,Ford,Focus,2013,Silver,Nigerian Used,275995,2000,Registered,Imported,,2415000.0
2268,Toyota,Camry,2004,Silver,Nigerian Used,385758,2400,Registered,Registered,Lagos,2300000.0
2269,Volkswagen,Passat,2013,Gray,Foreign Used,165781,2500,Imported,Imported,,5985000.0
2270,Honda,Crosstour,2012,Black,Foreign Used,123528,3800,Imported,Imported,,4725000.0
2271,Toyota,Corolla,2004,Blue,Nigerian Used,,1800,Registered,Imported,Edo,1785000.0
2272,Toyota,Sienna,2013,Silver,Foreign Used,323726,3500,Imported,Imported,,8400000.0
2273,Peugeot,406,2004,Blue,Nigerian Used,,2000,Registered,Registered,,1260000.0
2274,Honda,CR-V,2004,Green,Nigerian Used,340066,2400,Registered,Imported,Lagos,2496000.0
2275,Toyota,Camry,2014,Red,Nigerian Used,167060,2400,Registered,Imported,Abuja,6240000.0
2276,Honda,CR-V,2007,Blue,Nigerian Used,189034,2400,Registered,Registered,LAGOS,3328000.0
2277,Mercedes-Benz,A-Class,2000,Gray,Foreign Used,261401,1400,Imported,Imported,,1470000.0
2278,Toyota,Sequoia,2013,Gray,Nigerian Used,102129,5700,Registered,Registered,Abuja,6720000.0
2279,Mercedes-Benz,GL-Class,2008,White,Nigerian Used,332864,4700,Registered,Imported,LAGOS,6136000.0
2280,Honda,Accord,2003,Black,Nigerian Used,201621,2400,Registered,Registered,LAGOS,1028998.0
2281,Honda,Accord,2007,Black,Nigerian Used,476311,3000,Registered,Imported,,1680000.0
2282,Toyota,Highlander,2008,Silver,Nigerian Used,285535,3000,Registered,Registered,PLATEU,5250000.0
2283,Toyota,RAV4,2002,White,Nigerian Used,337031,2000,Registered,Registered,,1976000.0
2284,Toyota,Camry,2005,Red,Nigerian Used,269832,3000,Registered,Registered,Lagos,1575000.0
2285,Nissan,Sentra,2005,Black,Nigerian Used,248025,1800,Registered,Registered,LAGOS,840000.0
2286,Honda,Ridgeline,2006,Silver,Nigerian Used,355604,3500,Registered,Imported,LAGOS,3640000.0
2287,Toyota,Sienna,2002,Silver,Nigerian Used,289061,3000,Registered,Registered,LAGOS,1470000.0
2288,Mercedes-Benz,S-Class,2008,Gray,Nigerian Used,71290,5500,Registered,Imported,Ibadan,7072000.0
2289,Audi,A4,2006,Blue,Nigerian Used,244454,2000,Registered,Registered,Lagos,1575000.0
2290,Nissan,Almera,2015,Brown,Nigerian Used,115926,2000,Registered,Brand new,LAGOS,2257500.0
2291,Mazda,CX-7,2009,Red,Nigerian Used,347038,2300,Registered,Imported,,3360000.0
2292,Honda,Accord,2007,Gray,Nigerian Used,287526,2400,Registered,Registered,LAGOS,1365000.0
2293,Kia,Cerato,2006,Black,Nigerian Used,136990,,Registered,Brand new,Abuja,2100000.0
2294,Honda,Accord,2010,Gray,Foreign Used,278563,3500,Imported,Imported,,4200000.0
2295,Peugeot,407,2004,Blue,Nigerian Used,,2200,Registered,Registered,,1260000.0
2296,Mazda,CX-9,2009,White,Foreign Used,69485,3700,Imported,Imported,,6240000.0
2297,Mitsubishi,Galant,2005,Gray,Nigerian Used,305937,2400,Registered,Imported,LAGOS,1680000.0
2298,Toyota,Corolla,2009,Blue,Nigerian Used,93892,1800,Registered,Imported,ABUJA,3255000.0
2299,Mercedes-Benz,GL-Class,2012,Gray,Nigerian Used,69524,4500,Registered,Registered,,12480000.0
2300,Honda,Odyssey,2016,Black,Nigerian Used,61015,3500,Registered,Brand new,RIVERS,5145000.0
2301,Hyundai,Ix35,2012,Black,Nigerian Used,93446,2000,Registered,Brand new,LAGOS,3213000.0
2302,Peugeot,307,2005,Silver,Nigerian Used,175231,1600,Registered,Registered,Lagos,1560000.0
2303,Toyota,Avensis,2005,Silver,Nigerian Used,193330,,Registered,Imported,ABUJA,1575000.0
