,Make,Model,Year of manufacture,Colour,Condition,Mileage,Engine Size,Selling Condition,Bought Condition,Registered city,Price
0,Honda,CR-V,2003,Brown,Nigerian Used,122871,2000,Registered,Imported,,1458000.0
1,Acura,MDX,2008,Black,Nigerian Used,356275,3700,Registered,Imported,LAGOS,3394687.0
2,Peugeot,307,2003,Silver,Nigerian Used,217534,1600,Registered,Registered,Lagos,1687500.0
3,Nissan,Sentra,2004,Green,Nigerian Used,290538,1800,Registered,Registered,Lagos,1125000.0
4,Kia,Forte,2012,Gray,Foreign Used,190301,2000,Imported,Imported,,4275000.0
5,Kia,Cerato,2013,Gray,Nigerian Used,120725,1600,Registered,Brand new,LAGOS,3375000.0
6,Hyundai,Grandeur,2008,Black,Nigerian Used,295245,2700,Registered,Imported,Rivers State,3375000.0
7,Honda,CR-V,2013,Black,Nigerian Used,92698,2400,Registered,Brand new,Lagos,7537500.0
8,Toyota,Sienna,2006,Red,Foreign Used,353906,3300,Imported,Imported,,6075000.0
9,Mercedes-Benz,M Class,2006,Silver,Nigerian Used,2061,5000,Registered,Registered,LAGOS,3825000.0
10,Land Rover,Lr3,2008,Blue,Nigerian Used,139394,4400,Registered,Imported,LAGOS,3729375.0
11,Toyota,Matrix,2005,Blue,Nigerian Used,155314,1800,Registered,Imported,Lagos,3037500.0
12,Hyundai,Ix35,2011,Black,Nigerian Used,113565,2000,Registered,Registered,Lagos,3375000.0
13,Honda,Accord,2004,Gray,Nigerian Used,178262,3000,Registered,Registered,Lagos,1386562.0
14,Toyota,Corolla,2008,Silver,Nigerian Used,187115,1800,Registered,Brand new,,2677500.0
15,Acura,TL,2012,Purple,Nigerian Used,145605,3700,Registered,Imported,LAGOS,5400000.0
16,Honda,Pilot,2004,Black,Nigerian Used,268854,3500,Registered,Imported,LAGOS,1462500.0
17,Honda,Civic,2006,Black,Foreign Used,141008,1800,Imported,Imported,,6412500.0
18,Toyota,Avalon,2006,Red,Nigerian Used,416864,3500,Registered,Imported,,2452500.0
19,Ford,Edge,2009,Blue,Nigerian Used,156673,3500,Registered,Imported,,2724750.0
20,Toyota,Camry,2007,Silver,Nigerian Used,321459,2500,Registered,Registered,LAGOS,2700000.0
21,Toyota,Corolla,2003,Red,Nigerian Used,329177,1800,Registered,Imported,Lagos State,3656250.0
22,Peugeot,406,2004,Gray,Nigerian Used,9999,2000,Registered,Registered,,1575000.0
23,Ford,Edge,2008,Red,Nigerian Used,175142,3500,Registered,Registered,ABUJA,2475000.0
24,Toyota,Highlander,2003,Gold,Foreign Used,276266,3000,Imported,Imported,,4050000.0
25,Toyota,Sienna,2009,Gold,Nigerian Used,315529,3500,Registered,Imported,lagos,2587500.0
26,Toyota,Corolla,2010,Black,Nigerian Used,186914,1800,Registered,Registered,lagos,3375000.0
27,Kia,Mohave,2014,Brown,Nigerian Used,51008,,Registered,Brand new,LAGOS,7875000.0
28,Toyota,RAV4,2008,Black,Nigerian Used,144235,2400,Registered,Imported,LAGOS,4275000.0
29,Toyota,Highlander,2005,Silver,Nigerian Used,169582,3500,Registered,Registered,Lagos,3150000.0
30,Lexus,ES,2003,Silver,Foreign Used,234036,3000,Imported,Imported,,3712500.0
31,Toyota,Matrix,2003,Silver,Nigerian Used,154120,1800,Registered,Registered,,2812500.0
32,Land Rover,Range Rover Vogue,2010,Gray,Nigerian Used,138617,5000,Registered,Imported,,7875000.0
33,Toyota,RAV4,2007,Gold,Nigerian Used,182547,3500,Registered,Registered,LAGOS,3937500.0
34,Toyota,Highlander,2003,Black,Nigerian Used,154632,3000,Registered,Imported,,2587500.0
35,Toyota,Camry,2010,Gray,Nigerian Used,102401,2500,Registered,Registered,ABUJA,3937500.0
36,Toyota,Corolla,2008,Gold,Nigerian Used,262750,1800,Registered,Imported,Lagos State,3150000.0
37,Honda,Accord,2017,Black,Foreign Used,91264,2400,Imported,Imported,,11812500.0
38,Lexus,ES,2004,Black,Nigerian Used,397177,3300,Registered,Imported,,2475000.0
39,Mazda,CX-7,2008,Black,Nigerian Used,263288,2300,Registered,Registered,LAGOS,6187500.0
40,Toyota,Camry,2003,Silver,Nigerian Used,414009,3000,Registered,Registered,LAGOS,2025000.0
41,Toyota,Sienna,2007,Gray,Nigerian Used,242657,3500,Registered,Imported,Lagos,3322125.0
42,Lexus,GS,2006,White,Nigerian Used,150958,3000,Registered,Registered,,2953125.0
43,Volkswagen,Sharan,2002,Green,Nigerian Used,321211,1800,Registered,Registered,Abuja,3375000.0
44,Hyundai,Tucson,2018,Black,Nigerian Used,49812,1800,Registered,Brand new,Lagos,12375000.0
45,Toyota,Camry,2010,Silver,Nigerian Used,221393,2500,Registered,Registered,,3375000.0
46,Toyota,Corolla,2009,Gold,Foreign Used,226268,1800,Imported,Imported,,6187500.0
47,Honda,Accord,2005,Black,Nigerian Used,180600,2000,Registered,Registered,LAGOS,2025000.0
48,Hyundai,Santa Fe,2001,Gold,Nigerian Used,338670,2000,Registered,Imported,,1125000.0
49,Nissan,Altima,2008,Black,Nigerian Used,333807,2500,Registered,Registered,,1434375.0
50,Honda,Accord,2011,Black,Nigerian Used,142962,2400,Registered,Registered,LAGOS,2250000.0
51,Toyota,Camry,2007,Green,Nigerian Used,172139,2400,Registered,Imported,,3937500.0
52,Toyota,Camry,2009,Black,Nigerian Used,181860,2400,Registered,Registered,LAGOS,3825000.0
53,Honda,CR-V,2002,Silver,Nigerian Used,314026,2400,Registered,Imported,Ondo,1485000.0
54,Hyundai,Sonata,2011,Blue,Foreign Used,73746,2400,Imported,Imported,,4950000.0
55,Nissan,Sentra,2013,Gray,Nigerian Used,395118,2000,Registered,Imported,,4500000.0
56,Toyota,Camry,2003,Red,Nigerian Used,462919,2400,Registered,Registered,,3375000.0
57,Toyota,Yaris,2001,Green,Nigerian Used,306238,1000,Registered,Registered,EDO,2137500.0
58,Honda,Accord,2008,Silver,Nigerian Used,178889,3500,Registered,Imported,,2925000.0
59,Kia,Rio,2013,Red,Nigerian Used,107909,1400,Registered,Registered,Lagos,1575000.0
60,Lexus,RX 330,2006,Blue,Nigerian Used,97543,3300,Registered,Brand new,,4050000.0
61,Toyota,Camry,2005,Silver,Nigerian Used,268322,2400,Registered,Registered,ABUJA,2250000.0
62,Toyota,Solara,2001,Silver,Nigerian Used,165349,3000,Registered,Registered,ABUJA,2250000.0
63,Toyota,Sienna,2001,Silver,Nigerian Used,224044,3000,Registered,Imported,LAGOS,2250000.0
64,Honda,Accord,2014,Gray,Nigerian Used,219841,2400,Registered,Registered,LAGOS,8662500.0
65,Lexus,RX 350,2007,Beige,Nigerian Used,199790,3500,Registered,Registered,Lagos,4738500.0
66,Lexus,RX 300,2001,Black,Nigerian Used,209098,3000,Registered,Imported,LAGOS,1687500.0
67,Mercedes-Benz,CLS,2006,Blue,Nigerian Used,146255,5000,Registered,Imported,,2250000.0
68,Nissan,Primera,2002,Red,Nigerian Used,59734,,Registered,Registered,Lagos,1912500.0
69,Toyota,Camry,2006,Gray,Nigerian Used,496685,1800,Registered,Imported,LAGOS,2385000.0
70,Honda,CR-V,1997,Gray,Nigerian Used,99999,2000,Registered,Registered,kaduna,1462500.0
71,Ford,Fusion,2013,Black,Nigerian Used,182252,2000,Registered,Brand new,LAGOS,4612500.0
72,Toyota,Avensis,2009,Black,Nigerian Used,132970,2000,Registered,Brand new,LAGOS,2898000.0
73,Toyota,Venza,2009,Brown,Nigerian Used,97408,3500,Registered,Imported,,9562500.0
74,Lexus,NX,2021,Black,Foreign Used,22019,2000,Imported,Imported,,40500000.0
75,Toyota,Camry,2010,Silver,Nigerian Used,390017,2400,Registered,Registered,,3375000.0
76,Honda,Crosstour,2015,Black,Nigerian Used,59468,3500,Registered,Registered,,7312500.0
77,Toyota,Tacoma,2005,White,Foreign Used,161562,4000,Imported,Imported,,5062500.0
78,Nissan,Murano,2009,Black,Nigerian Used,186863,3500,Registered,Imported,LAGOS,4500000.0
79,Toyota,Camry,2010,Silver,Nigerian Used,193505,3500,Registered,Imported,Lagos State,3825000.0
80,Honda,Odyssey,2007,Gray,Nigerian Used,133636,3500,Registered,Imported,,3375000.0
81,Toyota,Venza,2009,White,Nigerian Used,292394,3500,Registered,Registered,EDO,7875000.0
82,Volkswagen,Passat,2008,Black,Nigerian Used,149325,2000,Registered,Registered,Lagos,1833750.0
83,Kia,Rio,2008,Black,Nigerian Used,140319,1400,Registered,Brand new,,1912500.0
84,Toyota,Camry,2007,Black,Nigerian Used,83333,,Registered,Imported,Lagos,3600000.0
85,Toyota,Corolla,2003,Silver,Nigerian Used,269422,1800,Registered,Registered,,2812500.0
86,Mercedes-Benz,GL-Class,2007,Black,Foreign Used,280730,4700,Imported,Imported,,5850000.0
87,Honda,Accord,2008,Black,Foreign Used,168644,2400,Imported,Imported,,3600000.0
88,Volkswagen,CC,2010,Black,Nigerian Used,128369,2000,Registered,Registered,LAGOS,2925000.0
89,Honda,City,2010,Silver,Nigerian Used,245215,1500,Registered,Registered,LAGOS,1743750.0
90,Toyota,Corolla,2008,Black,Nigerian Used,146691,1800,Registered,Registered,LAGOS,3150000.0
91,Mercedes-Benz,M Class,2011,Gray,Nigerian Used,177605,3500,Registered,Registered,Abuja,6187500.0
92,Honda,Accord,2007,Gray,Nigerian Used,430900,2400,Registered,Imported,LAGOS,1968750.0
93,Toyota,Camry,2012,Black,Foreign Used,209722,2500,Imported,Imported,,6187500.0
94,Honda,Accord,2008,Silver,Nigerian Used,151211,3500,Registered,Registered,LAGOS,2142000.0
95,Peugeot,307,2004,Blue,Foreign Used,403421,1600,Imported,Imported,,2415000.0
96,Lexus,RX,1999,Gold,Nigerian Used,254735,3000,Registered,Imported,Lagos,2250000.0
97,Honda,Accord,2007,Silver,Nigerian Used,279827,2400,Registered,Imported,LAGOS,1496250.0
98,Toyota,4-Runner,1999,Silver,Nigerian Used,341720,3400,Registered,Imported,LAGOS,1620000.0
99,Toyota,Camry,2006,Gray,Nigerian Used,235040,2400,Registered,Imported,LAGOS STATE,2226000.0
100,Toyota,Sienna,2009,Silver,Nigerian Used,127738,3500,Registered,Imported,ABUJA,3937500.0
101,Toyota,Camry,2007,Blue,Nigerian Used,136458,3500,Registered,Registered,ABUJA,3881250.0
102,Land Rover,Lr3,2005,Gray,Nigerian Used,293310,4000,Registered,Imported,,2250000.0
103,Honda,Accord,2005,Gold,Nigerian Used,122678,2400,Registered,Registered,,1687500.0
104,Mercedes-Benz,B-Class,2007,Gray,Nigerian Used,87163,2000,Registered,Registered,Abuja,2362500.0
105,Volkswagen,Golf,1999,Silver,Nigerian Used,316186,1600,Registered,Imported,LAGOS,1462500.0
106,Honda,Civic,2008,Black,Nigerian Used,166600,1800,Registered,Registered,ABUJA,1912500.0
107,Honda,Accord,2003,Silver,Nigerian Used,206145,2400,Registered,Registered,Niger,1338750.0
108,Lexus,GX,2015,Black,Nigerian Used,77694,4600,Registered,Imported,Lagos,42750000.0
109,Toyota,Camry,2011,Gray,Nigerian Used,165893,2500,Registered,Imported,,4500000.0
110,Mercedes-Benz,C300,2012,Gray,Nigerian Used,482277,3000,Registered,Registered,Lagos,4500000.0
111,Toyota,Camry,2009,Gray,Nigerian Used,116785,2400,Registered,Imported,,4725000.0
112,Toyota,Corolla,2004,Silver,Nigerian Used,299999,1800,Registered,Registered,,3375000.0
113,Toyota,Camry,2007,Silver,Nigerian Used,235211,2400,Registered,Registered,,3712500.0
114,Mazda,Protege,1994,Blue,Nigerian Used,108905,1800,Registered,Registered,,1462500.0
115,Acura,TL,2009,Green,Nigerian Used,318644,3500,Registered,Registered,Delta,3375000.0
116,Dodge,Avenger,2009,Black,Nigerian Used,135193,2400,Registered,Imported,lagos,2025000.0
117,Toyota,Avalon,2013,Gray,Foreign Used,126848,3500,Imported,Imported,,8437500.0
118,Toyota,Camry,2004,Silver,Nigerian Used,280710,2400,Registered,Imported,,2070000.0
119,Lexus,ES,2008,Gray,Nigerian Used,260534,3500,Registered,Imported,LAGOS,4275000.0
120,Hyundai,Sonata,2009,Silver,Nigerian Used,149488,2000,Registered,Registered,Lagos,1614375.0
121,Ford,F-150,2014,White,Foreign Used,303321,3400,Imported,Imported,,15750000.0
122,Mercedes-Benz,GL-Class,2009,Black,Nigerian Used,157498,5500,Registered,Registered,LAGOS,5062500.0
123,Honda,CR-V,2006,Gray,Nigerian Used,186581,2400,Registered,Imported,,1867500.0
124,Mercedes-Benz,M Class,2012,Gray,Nigerian Used,23646,3500,Registered,Registered,ABUJA,13500000.0
125,Toyota,Venza,2011,White,Foreign Used,293997,2700,Imported,Imported,,11812500.0
126,Toyota,Avalon,2014,White,Nigerian Used,229047,3500,Registered,Imported,ABUJA,15750000.0
127,Toyota,Corolla,2003,Green,Nigerian Used,132773,1800,Registered,Registered,,3375000.0
128,Honda,Accord,2003,Black,Nigerian Used,291071,3000,Registered,Imported,,1125000.0
129,Honda,Accord,2005,Silver,Nigerian Used,193851,3000,Registered,Imported,LAGOS,1350000.0
130,Toyota,Corolla,2006,Silver,Nigerian Used,300000,1800,Registered,Imported,LAGOS,2656780.0
131,Toyota,Land Cruiser Prado,2010,Black,Nigerian Used,261523,3000,Registered,Imported,,11250000.0
132,Toyota,Camry,2009,Gray,Nigerian Used,342161,3500,Registered,Imported,Lagos,3394687.0
133,Mercedes-Benz,GLC-Class,2016,White,Foreign Used,132601,2000,Imported,Imported,,22837500.0
134,Toyota,Corolla,2004,Silver,Nigerian Used,728,1800,Registered,Imported,LAGOS,3150000.0
135,Mercedes-Benz,M Class,2002,Gold,Nigerian Used,266833,4000,Registered,Registered,Kaduna,2025000.0
136,Toyota,Camry,2007,Green,Nigerian Used,176724,2400,Registered,Registered,,3150000.0
137,Toyota,Camry,2016,Silver,Foreign Used,227762,2500,Imported,Imported,,11362500.0
138,Honda,CR-V,2005,Silver,Nigerian Used,248321,2400,Registered,Registered,,1620000.0
139,Subaru,Impreza,2012,Green,Nigerian Used,159871,2000,Registered,Brand new,Lagos,1687500.0
140,Honda,CR-V,2004,Black,Nigerian Used,193736,2000,Registered,Imported,OYO,1687500.0
141,Kia,Sorento,2008,White,Nigerian Used,155574,3300,Registered,Registered,LAGOS,2812500.0
142,Mitsubishi,Endeavor,2005,Gray,Nigerian Used,166795,3800,Registered,Imported,LAGOS,3937500.0
143,Toyota,Camry,2008,Gray,Nigerian Used,352089,2400,Registered,Imported,LAGOS,3346875.0
144,Hyundai,Accent,2003,Gray,Nigerian Used,268824,1600,Registered,Registered,LAGOS,1800000.0
145,Toyota,Camry,2018,Silver,Nigerian Used,122977,2500,Registered,Imported,ABUJA,15750000.0
146,Chrysler,Pacifica,2005,Blue,Nigerian Used,182907,3500,Registered,Registered,AKWA IBOM,1912500.0
147,Land Rover,Range Rover,2016,Gray,Nigerian Used,87507,5000,Registered,Imported,LAGOS,40500000.0
148,Toyota,Highlander,2002,Black,Nigerian Used,224637,3000,Registered,Registered,Abuja,2475000.0
149,Nissan,Pathfinder,2003,Gray,Nigerian Used,268912,3500,Registered,Registered,LAGOS,1912500.0
150,Honda,Accord,2013,Gray,Nigerian Used,97843,2400,Registered,Registered,NIGER,5737500.0
151,Toyota,Camry,2007,Silver,Nigerian Used,182375,2400,Registered,Imported,Lagos,3712500.0
152,Toyota,Avalon,2005,Black,Nigerian Used,34582,3500,Registered,Registered,LAGOS,2520000.0
153,Mercedes-Benz,C280,2006,Brown,Nigerian Used,332808,3000,Registered,Registered,ABUJA,1800000.0
154,Honda,Accord,2001,Gray,Nigerian Used,331342,2300,Registered,Registered,NASARAWA STATE,1350000.0
155,Lexus,RX 300,2003,Black,Nigerian Used,212153,3000,Registered,Registered,,3037500.0
156,Lexus,ES,2002,Blue,Nigerian Used,190860,3000,Registered,Registered,Lagos,2475000.0
157,Acura,MDX,2005,Silver,Nigerian Used,236059,3500,Registered,Imported,Lagos,1912500.0
158,Toyota,Camry,2007,Gray,Nigerian Used,152346,2500,Registered,Registered,Lagos,2756250.0
159,Toyota,Avalon,2003,Gold,Nigerian Used,370516,3000,Registered,Registered,Lagos,1282500.0
160,Toyota,Matrix,2004,Red,Nigerian Used,373870,1800,Registered,Imported,LAGOS,2250000.0
161,Mercedes-Benz,GLK-Class,2010,Black,Nigerian Used,307190,3500,Registered,Imported,LAGOS,9000000.0
162,Toyota,Sienna,2005,Silver,Nigerian Used,234447,3300,Registered,Imported,,2925000.0
163,Toyota,Camry,2008,Green,Nigerian Used,324687,2400,Registered,Registered,LAGOS,2700000.0
164,Acura,TLX,2015,Black,Nigerian Used,115900,3500,Registered,Imported,,16590000.0
165,Toyota,Highlander,2015,Gold,Nigerian Used,121114,3500,Registered,Imported,Abuja,18000000.0
166,Toyota,Camry,2004,Silver,Nigerian Used,298598,2400,Registered,Imported,Enugu,3375000.0
167,Nissan,Micra,2002,Green,Nigerian Used,,1000,Registered,Registered,lagos,1350000.0
168,Toyota,RAV4,2006,Black,Nigerian Used,101054,2400,Registered,Imported,ABUJA,3744000.0
169,Toyota,Camry,2002,Silver,Nigerian Used,123523,2800,Registered,Registered,Lagos,1462500.0
170,Mercedes-Benz,GLK-Class,2013,Red,Foreign Used,179394,3500,Imported,Imported,,12375000.0
171,Lexus,RX 350,2012,Black,Foreign Used,288395,3500,Imported,Imported,,15187500.0
172,Mercedes-Benz,C200,2004,Blue,Nigerian Used,301322,1800,Registered,Imported,EDO,1687500.0
173,Toyota,Corolla,2008,Gold,Nigerian Used,104975,1800,Registered,Registered,RIVERS,3937500.0
174,Mercedes-Benz,M Class,2006,Silver,Nigerian Used,241635,3500,Registered,Imported,Abuja,5625000.0
175,Toyota,Tacoma,2007,Red,Nigerian Used,353404,4000,Registered,Imported,Lagos,8100000.0
176,Honda,Accord,2016,Blue,Nigerian Used,68998,3500,Registered,Registered,Lagos,13500000.0
177,Nissan,Pathfinder,2001,Gray,Nigerian Used,329510,3500,Registered,Imported,LAGOS,1417500.0
178,Volkswagen,Sharan,2001,White,Nigerian Used,215245,3000,Registered,Imported,ABUJA,5062500.0
179,Toyota,Land Cruiser,2007,Black,Nigerian Used,94653,4700,Registered,Imported,Lagos,14625000.0
180,Toyota,Avensis,2004,Silver,Nigerian Used,184866,2000,Registered,Imported,Lagos,2925000.0
181,Toyota,Camry,2009,Silver,Nigerian Used,263904,3500,Registered,Registered,Abuja,4050000.0
182,Peugeot,406,2004,Green,Nigerian Used,999999,2000,Registered,Registered,,2081250.0
183,Toyota,Sienna,2011,Silver,Nigerian Used,398863,3500,Registered,Registered,OGUN,6300000.0
184,Toyota,Sienna,2005,Blue,Nigerian Used,199089,3300,Registered,Imported,LAGOS,3600000.0
185,Toyota,Sienna,2005,Gray,Nigerian Used,343969,3300,Registered,Registered,Bayelsa,3937500.0
186,Toyota,Sienna,1998,Green,Nigerian Used,374612,3000,Registered,Registered,OGUN,2250000.0
187,Toyota,RAV4,2019,Blue,Nigerian Used,42648,2500,Registered,Imported,Lagos,18562500.0
188,Volkswagen,Jetta,2013,White,Nigerian Used,166733,2000,Registered,Registered,Abuja,4106250.0
189,Lexus,RX 400h,2008,Burgandy,Nigerian Used,174430,3500,Registered,Imported,,4275000.0
190,Mercedes-Benz,M Class,2004,Silver,Nigerian Used,235488,3500,Registered,Imported,LAGOS,2340000.0
191,Toyota,Venza,2009,Brown,Nigerian Used,145162,3500,Registered,Imported,,5985000.0
192,Honda,Pilot,2006,Silver,Nigerian Used,381576,3500,Registered,Registered,DELTA,2025000.0
193,Volkswagen,Passat,2008,Blue,Nigerian Used,143123,2000,Registered,Registered,KANO,1462500.0
194,Toyota,Previa,2000,Silver,Nigerian Used,747226,2400,Registered,Imported,Lagos,1687500.0
195,Mercedes-Benz,GLE-Class,2017,Red,Nigerian Used,141193,3000,Registered,Imported,,40500000.0
196,Acura,MDX,2007,Gray,Nigerian Used,186294,3500,Registered,Imported,,3937500.0
197,Nissan,Altima,2015,Black,Nigerian Used,133715,2500,Registered,Registered,Lagos,7537500.0
198,Opel,Combo,2007,Blue,Nigerian Used,424310,1700,Registered,Registered,Lagos,1687500.0
199,GAC,GS8,2021,Black,Nigerian Used,54212,2000,Registered,Registered,,18000000.0
200,Honda,CR-V,2007,Black,Nigerian Used,175656,2400,Registered,Imported,,2730000.0
201,Toyota,Corolla,2003,Silver,Nigerian Used,212642,1600,Registered,Imported,Lagos,3375000.0
202,Toyota,Camry,2004,Gray,Nigerian Used,306526,2400,Registered,Imported,,2704000.0
203,Infiniti,FX35,2004,Black,Nigerian Used,103952,3500,Registered,Registered,,2250000.0
204,Nissan,Altima,2010,Silver,Nigerian Used,299951,2500,Registered,Registered,LAGOS,2250000.0
205,Toyota,Corolla,2005,Gray,Nigerian Used,206286,1800,Registered,Imported,,3375000.0
206,Toyota,Camry,2010,Black,Nigerian Used,170739,2500,Registered,Imported,ABUJA,3375000.0
207,Lexus,SC,2003,Red,Nigerian Used,58053,4300,Registered,Imported,,7312500.0
208,Mitsubishi,Pajero,2018,Brown,Nigerian Used,76239,3200,Registered,Imported,LAGOS,17850000.0
209,Toyota,Corolla,2005,Blue,Nigerian Used,179723,1800,Registered,Imported,,3037500.0
210,Honda,Accord,2010,Green,Nigerian Used,139920,3000,Registered,Registered,LAGOS,2310000.0
211,Toyota,Hilux,2012,White,Nigerian Used,255584,2700,Registered,Brand new,LAGOS,6750000.0
212,Toyota,Camry,2004,Green,Nigerian Used,150698,1800,Registered,Registered,,2025000.0
213,Toyota,Highlander,2010,Red,Nigerian Used,121802,3500,Registered,Registered,LAGOS,5962500.0
214,Toyota,Sienna,2002,Red,Nigerian Used,192053,3000,Registered,Registered,BENUE,2812500.0
215,Volvo,XC90,2010,Black,Nigerian Used,271712,3200,Registered,Imported,LAGOS,5175000.0
216,Honda,Odyssey,2005,Blue,Nigerian Used,235231,3800,Registered,Registered,Lagos,2025000.0
217,Kia,Sportage,2013,Black,Nigerian Used,123212,2000,Registered,Brand new,,4275000.0
218,Toyota,Sienna,2005,Gold,Foreign Used,258077,3300,Imported,Imported,,3375000.0
219,Mitsubishi,L200,2012,White,Nigerian Used,151372,1834,Registered,Registered,LAGOS,3262500.0
220,Toyota,Camry,2009,Gray,Nigerian Used,381651,2500,Registered,Registered,Lagos,4050000.0
221,Lexus,ES,2002,Purple,Nigerian Used,170944,3000,Registered,Imported,LAGOS,2204998.0
222,Acura,TSX,2004,Silver,Nigerian Used,241819,2400,Registered,Imported,lagos,2025000.0
223,Toyota,Corolla,2007,Silver,Nigerian Used,482800,1800,Registered,Registered,LAGOS,2964375.0
224,Nissan,Rogue,2009,Silver,Nigerian Used,148844,2500,Registered,Imported,,4500000.0
225,Toyota,Highlander,2002,Silver,Nigerian Used,168376,3000,Registered,Registered,KRD241GU,4500000.0
226,Toyota,RAV4,2012,Blue,Nigerian Used,145173,3500,Registered,Imported,,7650000.0
227,Mercedes-Benz,M Class,2011,White,Nigerian Used,297069,3500,Registered,Imported,Lagos,12150000.0
228,Toyota,Avensis,2007,Blue,Nigerian Used,312989,2000,Registered,Registered,Lagos,1536187.0
229,Hyundai,Sonata,2014,Blue,Nigerian Used,178892,2500,Registered,Brand new,ABUJA,4500000.0
230,Nissan,Frontier,2012,Black,Foreign Used,504691,4000,Imported,Imported,,9000000.0
231,Toyota,Camry,2008,Red,Nigerian Used,244919,2400,Registered,Registered,Abuja,2812500.0
232,Ford,Windstar,1999,Blue,Nigerian Used,158695,3800,Registered,Imported,LAGOS,1912500.0
233,Peugeot,206,2003,Green,Nigerian Used,99999,2000,Registered,Registered,Abuja,1350000.0
234,Honda,Odyssey,2000,Gray,Nigerian Used,183191,3500,Registered,Registered,,2587500.0
235,Toyota,Corolla,2006,Black,Nigerian Used,229184,1800,Registered,Imported,ABUJA,2812500.0
236,Mercedes-Benz,E350,2010,Gray,Nigerian Used,229228,3500,Registered,Registered,Abuja,7312500.0
237,Toyota,Corolla,2008,Gray,Nigerian Used,394970,1800,Registered,Registered,Lagos State,2362500.0
238,Mercedes-Benz,E550,2011,White,Foreign Used,280385,5500,Imported,Imported,,10350000.0
239,Toyota,Camry,2006,Silver,Nigerian Used,239651,2400,Registered,Registered,,2475000.0
240,Toyota,Camry,2009,White,Nigerian Used,239392,2500,Registered,Imported,Abuja,3150000.0
241,Toyota,Camry,2008,Black,Nigerian Used,275211,2400,Registered,Registered,Abuja,3825000.0
242,Honda,CR-V,2008,Black,Nigerian Used,107789,2400,Registered,Imported,LAGOS,3937500.0
243,Lexus,RX 330,2006,Silver,Nigerian Used,183875,3000,Registered,Registered,Abuja,5175000.0
244,Lexus,ES,2006,Silver,Nigerian Used,148685,3300,Registered,Registered,LAGOS,2970000.0
245,Toyota,Highlander,2008,Gray,Nigerian Used,197205,3500,Registered,Imported,ABUJA,5625000.0
246,Toyota,Highlander,2004,Red,Nigerian Used,361879,3300,Registered,Imported,,3037500.0
247,Honda,Accord,2010,Gray,Nigerian Used,189708,3500,Registered,Imported,,2362500.0
248,Toyota,Sienna,2004,Silver,Nigerian Used,231037,3300,Registered,Imported,Lagos,3825000.0
249,Toyota,4-Runner,2006,Black,Nigerian Used,179724,4000,Registered,Registered,Abuja,3768750.0
250,Toyota,Camry,2008,Black,Nigerian Used,111697,2400,Registered,Registered,Lagos,2782500.0
251,Lexus,RX,2010,Black,Nigerian Used,73830,3500,Registered,Imported,,8534531.0
252,Toyota,Camry,2008,Gray,Nigerian Used,157380,2400,Registered,Imported,LAGOS,2250000.0
253,Toyota,Camry,2005,Red,Nigerian Used,409936,3000,Registered,Imported,IMO,2137500.0
254,Toyota,Camry,2006,Black,Nigerian Used,250166,2400,Registered,Registered,ABUJA,4275000.0
255,Toyota,Sienna,2011,Gray,Foreign Used,121596,3500,Imported,Imported,,8325000.0
256,Toyota,Highlander,2015,Gray,Nigerian Used,100303,3500,Registered,Registered,NIL,18562500.0
257,Hyundai,Azera,2013,Brown,Nigerian Used,160932,3000,Registered,Imported,ABUJA,5775000.0
258,Mazda,Tribute,2001,Silver,Nigerian Used,391179,3000,Registered,Imported,,1856250.0
259,Mazda,CX-7,2010,Gray,Foreign Used,304984,2300,Imported,Imported,,4275000.0
260,Toyota,Corolla,2012,Gray,Nigerian Used,355887,1800,Registered,Registered,"FCT, ABUJA",3990000.0
261,Toyota,Camry,2010,Black,Nigerian Used,44431,2500,Registered,Registered,ABUJA,3825000.0
262,Toyota,Camry,1994,Silver,Nigerian Used,273020,2200,Registered,Imported,LAGOS,924000.0
263,Toyota,Corolla,2010,Black,Nigerian Used,206133,1800,Registered,Brand new,Lagos,4160000.0
264,Land Rover,Range Rover Sport,2006,Black,Nigerian Used,227011,4400,Registered,Imported,LAGOS,6510000.0
265,Mercedes-Benz,CLK,2008,Red,Foreign Used,222974,3500,Imported,Imported,,4500000.0
266,Toyota,Highlander,2004,Black,Nigerian Used,183260,3300,Registered,Registered,LAGOS,2688000.0
267,Audi,Q7,2010,Brown,Nigerian Used,246248,3600,Registered,Imported,LAGOS,9562500.0
268,GMC,Terrain,2013,Black,Nigerian Used,36662,3500,Registered,Registered,,16800000.0
269,Toyota,Camry,2006,Gray,Foreign Used,185234,2400,Imported,Imported,,3150000.0
270,Toyota,Corolla,2016,Teal,Foreign Used,240486,1800,Imported,Imported,,10400000.0
271,Toyota,Camry,2006,Silver,Nigerian Used,230061,2400,Registered,Registered,,3093750.0
272,Hyundai,Elantra,2014,Black,Nigerian Used,93034,1600,Registered,Registered,LAGOS,4500000.0
273,Lexus,NX,2015,Silver,Foreign Used,177749,,Imported,Imported,,30937500.0
274,Hyundai,I10,2012,Black,Nigerian Used,226118,1100,Registered,Registered,Abuja,1575000.0
275,Toyota,Corolla,2009,Silver,Nigerian Used,146766,1800,Registered,Registered,LAGOS,4160000.0
276,Toyota,Camry,2004,Gray,Nigerian Used,387208,3000,Registered,Registered,Lagos,3375000.0
